RA Dec
89.97216001608966 -30.99479153579908
89.98073122232239 -30.976846342245427
89.95929416592625 -30.99858920118258
89.98254160082152 -31.04355033989471
89.96086403084148 -31.053978641872988
89.93094974126141 -31.010525514237628
89.9920868133042 -30.945703878287468
90.02605846054601 -31.068767479853655
90.03977517614022 -31.06662633743009
90.03772261486931 -30.94571025456909
89.99908543480656 -30.936377724398042
90.09027691461776 -30.992413468009104
89.96570212579576 -31.07802612539779
90.0675955741275 -31.069619683446863
89.94176834565285 -30.942442996780795
89.91885242574894 -31.068811426489745
90.08130988103636 -30.939593525170604
89.89585502452336 -31.032592314109685
89.91189100519755 -30.94994370770423
89.91341968169606 -30.93968853377502
